Date,Confirmed,Recovered,Decreased
14-Mar-20,1,0,0
15-Mar-20,2,1,0
16-Mar-20,1,0,0
17-Mar-20,1,0,0
18-Mar-20,8,0,0
19-Mar-20,3,0,0
20-Mar-20,3,0,0
21-Mar-20,2,0,0
22-Mar-20,6,0,0
23-Mar-20,6,0,0
24-Mar-20,4,0,0
25-Mar-20,4,0,0
26-Mar-20,3,0,0
27-Mar-20,15,0,0
28-Mar-20,8,0,1
29-Mar-20,3,0,0
30-Mar-20,7,13,5
31-Mar-20,20,0,0
01-Apr-20,30,0,3
02-Apr-20,27,3,0
03-Apr-20,75,15,2
04-Apr-20,43,1,0
05-Apr-20,62,0,0
06-Apr-20,30,12,0
07-Apr-20,40,0,0
08-Apr-20,49,0,0
09-Apr-20,18,0,1
10-Apr-20,16,0,0
11-Apr-20,16,51,2
12-Apr-20,28,7,2
13-Apr-20,61,0,1
14-Apr-20,52,7,1
15-Apr-20,6,8,0
16-Apr-20,50,68,0
17-Apr-20,66,0,0
18-Apr-20,43,0,0
19-Apr-20,49,0,3
20-Apr-20,14,0,2
21-Apr-20,56,8,0
22-Apr-20,15,0,1
23-Apr-20,27,58,1
24-Apr-20,13,39,0
25-Apr-20,7,16,0
26-Apr-20,11,9,0
27-Apr-20,2,16,0
28-Apr-20,6,42,0
29-Apr-20,7,35,0
30-Apr-20,22,33,3
01-May-20,6,22,0
02-May-20,17,35,1
03-May-20,21,46,0
04-May-20,3,40,0
05-May-20,11,43,0
06-May-20,11,20,0
07-May-20,15,45,0
08-May-20,10,34,0
09-May-20,31,24,1
10-May-20,33,0,0
11-May-20,79,50,0
12-May-20,51,21,2
13-May-20,41,117,2
14-May-20,47,13,0
15-May-20,40,7,0
16-May-20,55,12,0
17-May-20,42,21,0
18-May-20,41,10,0
19-May-20,42,9,4
20-May-20,27,2,2
21-May-20,38,23,5
22-May-20,62,7,3
23-May-20,52,25,1
24-May-20,41,24,4
25-May-20,66,72,3
26-May-20,112,120,1
27-May-20,107,37,6
28-May-20,117,24,4
29-May-20,169,36,4
30-May-20,74,31,6
31-May-20,199,16,5
01-Jun-20,94,63,6
02-Jun-20,99,35,4
03-Jun-20,129,30,7
04-Jun-20,127,31,6
05-Jun-20,143,40,8
06-Jun-20,206,83,10
07-Jun-20,154,32,14
08-Jun-20,92,0,5
09-Jun-20,178,0,6
10-Jun-20,191,75,8
11-Jun-20,209,176,9
12-Jun-20,164,285,9
13-Jun-20,253,74,8
14-Jun-20,237,25,3
15-Jun-20,219,389,2
16-Jun-20,213,261,4
17-Jun-20,269,44,1
18-Jun-20,352,230,3
19-Jun-20,499,51,3
20-Jun-20,546,154,5
21-Jun-20,730,225,7
22-Jun-20,872,274,7
23-Jun-20,879,219,3
24-Jun-20,891,137,5
25-Jun-20,920,327,5
26-Jun-20,985,78,7
27-Jun-20,1087,162,6
28-Jun-20,983,244,4
29-Jun-20,975,410,6
30-Jun-20,945,1712,7
01-Jul-20,1018,788,7
02-Jul-20,1213,987,8
03-Jul-20,1892,1126,8
04-Jul-20,1850,1342,5
05-Jul-20,1590,1166,7
06-Jul-20,1831,2078,11
